# Constructed from biom file
#OTU ID	A8812_JewBury1-51926-SortMeRNA-Naive	A8824_JewBury2-71125-SortMeRNA-Naive	A12014_EuroHG1-100k-SortMeRNA-Naive	A12017_EuroHG2-93208-SortMeRNA-Naive	A12826_LBK1-100k-SortMeRNA-Naive	A12829_LBK2-100k-SortMeRNA-Naive	A12873_Chimp-100k-SortMeRNA-Naive	A13204_AfrPP2-100k-SortMeRNA-Naive	A13208_AfrSF2-100k-SortMeRNA-Naive	A13209_AfrSF3-100k-SortMeRNA-Naive	A13210-AfrSF4-100k-SortMeRNA-Naive	A13213_AfrPP1-100k-SortMeRNA-Naive	A13232_IndRev1-100k-SortMeRNA-Naive	A13234_IndRev2-100k-SortMeRNA-Naive	A13344_ET11_EBC-100k-SortMeRNA-Naive	AFR8_EBC-9076-SortMeRNA-Naive	8812Jewbury	8824Jewbury	12014Meso	12017Meso	12826LBK	12829LBK	12873Chimp	13204Sf	13208Sf	13209Sf	13210Sf	13213Sf	IndustrialRevolution1-1.	IndustrialRevolution2	IndustrialRevolution3
"Novosphingobium"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	384.0	3.0	0.0	1.0	142.0	13.0	0.0	1113.0	1.0	6516.0	1.0	1.0	3.0
"Sphingobium"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	2.0	2.0	0.0	1.0	1.0	0.0	1.0	10399.0	1.0	1.0	1.0
"Sphingomonas"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Sphingopyxis"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7913.0	0.0	2.0	0.0	2.0	0.0
"Achromobacter"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3326.0	0.0	0.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0
"Burkholderia"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
"Lautropia"	1009.0	1046.0	0.0	0.0	105.0	583.0	0.0	103.0	0.0	0.0	0.0	0.0	1470.0	1553.0	11.0	0.0	7474.0	2801.0	0.0	0.0	1.0	813.0	0.0	15.0	1556.0	0.0	2.0	1.0	404.0	45760.0	13262.0
"Brachymonas"	0.0	0.0	201.0	93.0	0.0	0.0	0.0	233.0	0.0	0.0	0.0	59.0	0.0	0.0	0.0	0.0	0.0	60.0	1.0	0.0	0.0	4.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	295.0	87.0
"Comamonas"	286.0	310.0	0.0	0.0	296.0	453.0	0.0	0.0	0.0	0.0	0.0	0.0	339.0	547.0	1.0	393.0	294.0	145.0	87794.0	61290.0	2696.0	284.0	88297.0	947.0	5027.0	109868.0	126812.0	77619.0	29.0	223.0	65.0
"Diaphorobacter"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Hydrogenophaga"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
"Hylemonella"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	4.0	1.0	2.0	3.0	24.0	4.0	0.0	0.0	0.0	2.0	1.0	7.0
"Limnohabitans"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	67.0	21.0	5.0	332.0	0.0	136.0	1.0	234.0	3.0	0.0	2.0	0.0
"Ottowia"	0.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Polaromonas"	0.0	0.0	155.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	18.0	5924.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
"Janthinobacterium"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	733.0	0.0	0.0	2.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Eikenella"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	409.0	242.0	2.0	0.0	4.0	650.0	0.0	55.0	118.0	0.0	0.0	1.0	128.0	1114.0	259.0
"Kingella"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
"Neisseria"	1523.0	933.0	0.0	0.0	195.0	2063.0	0.0	165.0	0.0	0.0	0.0	0.0	3480.0	1300.0	15.0	0.0	5484.0	572.0	0.0	1.0	0.0	1951.0	1.0	2.0	225.0	0.0	1.0	1.0	85.0	34179.0	2186.0
